Date;TSS;BOD;COD;NO3-N;Nitrates;NH4-N;TN;PO4-P;TP
01/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
02/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
03/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
04/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
05/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
06/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
07/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
08/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
09/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
10/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
11/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
12/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
13/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
14/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
15/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
16/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
17/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
18/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
19/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
20/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
21/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
22/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
23/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
24/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
25/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
26/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
27/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
28/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
29/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
30/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
31/01/2021;45;32.02333333;108.0076994;0.7;4.336666667;36;28;3.504328898;4.47
01/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
02/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
03/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
04/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
05/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
06/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
07/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
08/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
09/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
10/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
11/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
12/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
13/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
14/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
15/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
16/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
17/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
18/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
19/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
20/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
21/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
22/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
23/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
24/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
25/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
26/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
27/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
28/02/2021;24.16666667;31.95888889;105.6666667;3.25;10.82333333;13.39433333;19.45;10.31107689;23.51325
01/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
02/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
03/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
04/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
05/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
06/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
07/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
08/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
09/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
10/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
11/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
12/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
13/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
14/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
15/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
16/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
17/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
18/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
19/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
20/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
21/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
22/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
23/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
24/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
25/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
26/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
27/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
28/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
29/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
30/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
31/03/2021;30;32.65;101.5;5.4;13.64;6.94;5.7;3.214908822;2.98
01/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
02/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
03/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
04/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
05/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
06/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
07/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
08/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
09/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
10/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
11/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
12/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
13/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
14/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
15/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
16/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
17/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
18/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
19/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
20/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
21/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
22/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
23/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
24/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
25/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
26/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
27/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
28/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
29/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
30/04/2021;35;15.25;56.75;3.2;11.22;21.63;13.4;1.314896282;0.7
01/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
02/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
03/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
04/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
05/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
06/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
07/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
08/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
09/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
10/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
11/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
12/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
13/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
14/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
15/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
16/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
17/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
18/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
19/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
20/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
21/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
22/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
23/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
24/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
25/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
26/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
27/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
28/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
29/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
30/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
31/05/2021;46.11111111;23.47777778;71.97070292;8.5;16.96444444;12.25366667;8.166666667;1.493246894;3.43
01/06/2021;36.33333333;11.475;63.80929884;2.683333333;16.03533333;17.69911111;9.8;1.281069682;1.401666667
02/06/2021;36.33333333;11.475;63.80929884;2.683333333;16.03533333;17.69911111;9.8;1.281069682;1.401666667
03/06/2021;36.33333333;11.475;63.80929884;2.683333333;16.03533333;17.69911111;9.8;1.281069682;1.401666667
04/06/2021;36.33333333;11.475;63.80929884;2.683333333;16.03533333;17.69911111;9.8;1.281069682;1.401666667
05/06/2021;36.33333333;11.475;63.80929884;2.683333333;16.03533333;17.69911111;9.8;1.281069682;1.401666667
06/06/2021;36.33333333;11.475;63.80929884;2.683333333;16.03533333;17.69911111;9.8;1.281069682;1.401666667
07/06/2021;36.33333333;11.475;63.80929884;2.683333333;16.03533333;17.69911111;9.8;1.281069682;1.401666667
08/06/2021;36.33333333;11.475;63.80929884;2.683333333;16.03533333;17.69911111;9.8;1.281069682;1.401666667
09/06/2021;36.33333333;11.475;63.80929884;2.683333333;16.03533333;17.69911111;9.8;1.281069682;1.401666667
10/06/2021;36.33333333;11.475;63.80929884;2.683333333;16.03533333;17.69911111;9.8;1.281069682;1.401666667
11/06/2021;36.33333333;11.475;63.80929884;2.683333333;16.03533333;17.69911111;9.8;1.281069682;1.401666667
12/06/2021;36.33333333;11.475;63.80929884;2.683333333;16.03533333;17.69911111;9.8;1.281069682;1.401666667
13/06/2021;36.33333333;11.475;63.80929884;2.683333333;16.03533333;17.69911111;9.8;1.281069682;1.401666667
14/06/2021;36.33333333;11.475;63.80929884;2.683333333;16.03533333;17.69911111;9.8;1.281069682;1.401666667
15/06/2021;36.33333333;11.475;63.80929884;2.683333333;16.03533333;17.69911111;9.8;1.281069682;1.401666667
16/06/2021;36.33333333;11.475;63.80929884;2.683333333;16.03533333;17.69911111;9.8;1.281069682;1.401666667
17/06/2021;36.33333333;11.475;63.80929884;2.683333333;16.03533333;17.69911111;9.8;1.281069682;1.401666667
18/06/2021;36.33333333;11.475;63.80929884;2.683333333;16.03533333;17.69911111;9.8;1.281069682;1.401666667
