Date;TSS;BOD;COD;NO3-N;Nitrate;NH4-N;TN;PO4-P;TP
03-juil;305;113.05;252.03;3;9.02;20.38;52.21;3.32;4.88
04-juil;305;113.05;252.03;3;9.02;20.38;52.21;4.32;4.88
05-juil;305;113.05;252.03;3;9.02;20.38;52.21;5.32;4.88
06-juil;305;113.05;252.03;3;9.02;20.38;52.21;6.32;4.88
07-juil;305;113.05;252.03;3;9.02;20.38;52.21;7.32;4.88
08-juil;305;113.05;252.03;3;9.02;20.38;52.21;8.32;4.88
09-juil;305;113.05;252.03;3;9.02;20.38;52.21;9.32;4.88
10-juil;305;113.05;252.03;3;9.02;20.38;52.21;10.32;4.88
11-juil;305;113.05;252.03;3;9.02;20.38;52.21;11.32;4.88
12-juil;305;113.05;252.03;3;9.02;20.38;52.21;12.32;4.88
13-juil;305;113.05;252.03;3;9.02;20.38;52.21;13.32;4.88
14-juil;305;113.05;252.03;3;9.02;20.38;52.21;14.32;4.88
15-juil;305;113.05;252.03;3;9.02;20.38;52.21;15.32;4.88
16-juil;305;113.05;252.03;3;9.02;20.38;52.21;16.32;4.88
17-juil;305;113.05;252.03;3;9.02;20.38;52.21;17.32;4.88
18-juil;305;113.05;252.03;3;9.02;20.38;52.21;18.32;4.88
19-juil;305;113.05;252.03;3;9.02;20.38;52.21;19.32;4.88
20-juil;305;113.05;252.03;3;9.02;20.38;52.21;20.32;4.88
21-juil;305;113.05;252.03;3;9.02;20.38;52.21;21.32;4.88
22-juil;305;113.05;252.03;3;9.02;20.38;52.21;22.32;4.88
23-juil;305;113.05;252.03;3;9.02;20.38;52.21;23.32;4.88
24-juil;305;113.05;252.03;3;9.02;20.38;52.21;24.32;4.88
25-juil;305;113.05;252.03;3;9.02;20.38;52.21;25.32;4.88
26-juil;305;113.05;252.03;3;9.02;20.38;52.21;26.32;4.88
27-juil;305;113.05;252.03;3;9.02;20.38;52.21;27.32;4.88
28-juil;305;113.05;252.03;3;9.02;20.38;52.21;28.32;4.88
29-juil;305;113.05;252.03;3;9.02;20.38;52.21;29.32;4.88
30-juil;305;113.05;252.03;3;9.02;20.38;52.21;30.32;4.88
31-juil;305;113.05;252.03;3;9.02;20.38;52.21;31.32;4.88
01-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;2.37;4.88
02-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;3.37;4.88
03-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;4.37;4.88
04-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;5.37;4.88
05-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;6.37;4.88
06-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;7.37;4.88
07-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;8.37;4.88
08-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;9.37;4.88
09-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;10.37;4.88
10-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;11.37;4.88
11-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;12.37;4.88
12-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;13.37;4.88
13-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;14.37;4.88
14-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;15.37;4.88
15-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;16.37;4.88
16-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;17.37;4.88
17-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;18.37;4.88
18-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;19.37;4.88
19-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;20.37;4.88
20-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;21.37;4.88
21-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;22.37;4.88
22-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;23.37;4.88
23-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;24.37;4.88
24-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;25.37;4.88
25-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;26.37;4.88
26-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;27.37;4.88
27-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;28.37;4.88
28-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;29.37;4.88
29-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;30.37;4.88
30-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;31.37;4.88
31-aoï¿;195;123.5;240.83;9.13;45.65;52.85;52.21;32.37;4.88
01-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
02-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
03-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
04-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
05-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
06-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
07-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
08-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
09-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
10-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
11-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
12-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
13-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
14-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
15-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
16-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
17-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
18-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
19-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
20-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
21-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
22-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
23-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
24-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
25-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
26-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
27-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
28-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
29-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
30-sept;154.65;60.35;137.64;2.19;8.37;17.31;29.85;2.93;4.41
01-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
02-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
03-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
04-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
05-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
06-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
07-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
08-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
09-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
10-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
11-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
12-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
13-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
14-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
15-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
16-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
17-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
18-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
19-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
20-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
21-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
22-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
23-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
24-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
25-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
26-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
27-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
28-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
29-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
30-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
31-oct;223.75;115.99;212.02;0.8;4.58;23.37;27.4;3.15;3.14
01-nov;50;24;72.02;2.9;14.52;32.59;52.21;0.86;4.88
02-nov;50;24;72.02;2.9;14.52;32.59;52.21;1.86;4.88
03-nov;50;24;72.02;2.9;14.52;32.59;52.21;2.86;4.88
04-nov;50;24;72.02;2.9;14.52;32.59;52.21;3.86;4.88
05-nov;50;24;72.02;2.9;14.52;32.59;52.21;4.86;4.88
06-nov;50;24;72.02;2.9;14.52;32.59;52.21;5.86;4.88
07-nov;50;24;72.02;2.9;14.52;32.59;52.21;6.86;4.88
08-nov;50;24;72.02;2.9;14.52;32.59;52.21;7.86;4.88
09-nov;50;24;72.02;2.9;14.52;32.59;52.21;8.86;4.88
10-nov;50;24;72.02;2.9;14.52;32.59;52.21;9.86;4.88
11-nov;50;24;72.02;2.9;14.52;32.59;52.21;10.86;4.88
12-nov;50;24;72.02;2.9;14.52;32.59;52.21;11.86;4.88
13-nov;50;24;72.02;2.9;14.52;32.59;52.21;12.86;4.88
14-nov;50;24;72.02;2.9;14.52;32.59;52.21;13.86;4.88
15-nov;50;24;72.02;2.9;14.52;32.59;52.21;14.86;4.88
16-nov;50;24;72.02;2.9;14.52;32.59;52.21;15.86;4.88
17-nov;50;24;72.02;2.9;14.52;32.59;52.21;16.86;4.88
18-nov;50;24;72.02;2.9;14.52;32.59;52.21;17.86;4.88
19-nov;50;24;72.02;2.9;14.52;32.59;52.21;18.86;4.88
20-nov;50;24;72.02;2.9;14.52;32.59;52.21;19.86;4.88
21-nov;50;24;72.02;2.9;14.52;32.59;52.21;20.86;4.88
22-nov;50;24;72.02;2.9;14.52;32.59;52.21;21.86;4.88
23-nov;50;24;72.02;2.9;14.52;32.59;52.21;22.86;4.88
24-nov;50;24;72.02;2.9;14.52;32.59;52.21;23.86;4.88
25-nov;50;24;72.02;2.9;14.52;32.59;52.21;24.86;4.88
26-nov;50;24;72.02;2.9;14.52;32.59;52.21;25.86;4.88
27-nov;50;24;72.02;2.9;14.52;32.59;52.21;26.86;4.88
28-nov;50;24;72.02;2.9;14.52;32.59;52.21;27.86;4.88
29-nov;50;24;72.02;2.9;14.52;32.59;52.21;28.86;4.88
30-nov;50;24;72.02;2.9;14.52;32.59;52.21;29.86;4.88
01-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
02-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
03-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
04-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
05-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
06-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
07-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
08-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
09-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
10-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
11-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
12-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
13-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
14-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
15-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
16-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
17-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
18-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
19-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
20-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
21-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
22-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
23-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
24-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
25-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
26-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
27-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
28-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
29-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
30-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
31-dï¿;145;45.68;199.22;1.6;4.82;47.1;42.3;2.99;5.64
