TSS;COD;BOD;nitrate;TN;ammonia;phosphate;TP
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
29;38.213;29.9952;5.22;15.16;22.836;3.4;4.77
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
38.066;629.7788;63.3096;17.69;13.496;148.0578;22.13;4.9
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
42.5;24.99;30.42;6.38;3.948;8.58;3.29;5.52
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
9;12.005;10.08;3.48;13.716;26.334;6.12;7.2
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
34.222;23.3534;38.0988;6.38;13.932;16.995;2.91;4.19
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
22.6;28.4592;21.2076;3.944;18.728;21.6348;2.93;4.17
;;;;;;;
61;35.2842;40.698;17.4;8.152;34.4586;1.32;4.88
;;;;;;;
